Gene	Celltype
IGKC	Immuno
IGHG1	Immuno
IGHA1	Immuno
JCHAIN	Immuno
CD79A	B
CD79B	B
MS4A1	B
CXCR4	B
CD3D	T
CD3E	T
CD8A	T
CD4	T
DCN	Stroma
COL1A1	Stroma
COL1A2	Stroma
ACTA2	Stroma
CLDN5	Endothelial_cell
PECAM1	Endothelial_cell
VWF	Endothelial_cell
AQP1	Endothelial_cell
CD68	Macrophage
CXCL9	Macrophage
APOE	Macrophage
CD163	Macrophage
C1QC	Macrophage
SPP1	Macrophage
CAPS	Epithelium
HOPX	Epithelium
SFTPC	Epithelium
SFTPB	Epithelium
WEE1	Proliferative
FOS	Proliferative
FOSB	Proliferative
SPINK1	Invasive
MMP7	Invasive
CXCL14	Invasive
S100A6	Invasive
TGFBI	Invasive
TNC	Invasive
